When,Treatment,Element,Concentration
Before,Control,N,10.73
Before,Control,P,0.53
Before,Control,K,10.6
Before,Control,Ca,43.3
Before,Control,Mg,4.4
Before,Forbs,N,0.21
Before,Forbs,P,0.025
Before,Forbs,K,1.9
Before,Forbs,Ca,64
Before,Forbs,Mg,3.8
Before,Grasses,N,0.65
Before,Grasses,P,0.025
Before,Grasses,K,1.7
Before,Grasses,Ca,54
Before,Grasses,Mg,5.8
After,Control,N,13.81
After,Control,P,0.49
After,Control,K,9.1
After,Control,Ca,43.1
After,Control,Mg,4.4
After,Forbs,N,13.96
After,Forbs,P,0.26
After,Forbs,K,9.8
After,Forbs,Ca,50.9
After,Forbs,Mg,3.2
After,Grasses,N,13.91
After,Grasses,P,0.3
After,Grasses,K,9.7
After,Grasses,Ca,52.4
After,Grasses,Mg,5.5
